"Dataset","Variable","Disagreement_Count","Rejection_Count","Severity_Score"
"auto_mpg","acceleration",2,5,10
"breast_cancer","symmetry1",2,5,10
"breast_cancer","texture1",2,5,10
"breast_cancer","texture3",2,5,10
"chronic_kidney","hemo",2,5,10
"cirrhosis","Albumin",2,5,10
"breast_cancer","smoothness1",2,4,8
"breast_cancer","smoothness3",2,4,8
"cirrhosis","Age",2,4,8
"cirrhosis","Platelets",2,4,8
"ionosphere","attribute10",2,4,8
"ionosphere","attribute12",2,4,8
"ionosphere","attribute14",2,4,8
"ionosphere","attribute16",2,4,8
"ionosphere","attribute18",2,4,8
"ionosphere","attribute20",2,4,8
"ionosphere","attribute22",2,4,8
"ionosphere","attribute24",2,4,8
"ionosphere","attribute26",2,4,8
"ionosphere","attribute28",2,4,8
"ionosphere","attribute30",2,4,8
"ionosphere","attribute32",2,4,8
"ionosphere","attribute34",2,4,8
"ionosphere","attribute8",2,4,8
"airfoil","attack_angle",1,6,6
"airfoil","frequency",1,6,6
"airfoil","scaled_sound_pressure",1,6,6
"airfoil","suction_sdt",1,6,6
"auto_mpg","displacement",1,6,6
"auto_mpg","horsepower",1,6,6
"auto_mpg","model year",1,6,6
"auto_mpg","mpg",1,6,6
"auto_mpg","weight",1,6,6
"breast_cancer","area1",1,6,6
"breast_cancer","area2",1,6,6
"breast_cancer","area3",1,6,6
"breast_cancer","compactness1",1,6,6
"breast_cancer","compactness2",1,6,6
"breast_cancer","compactness3",1,6,6
"breast_cancer","concave_points1",1,6,6
"breast_cancer","concave_points2",1,6,6
"breast_cancer","concave_points3",1,6,6
"breast_cancer","concavity1",1,6,6
"breast_cancer","concavity2",1,6,6
"breast_cancer","concavity3",1,6,6
"breast_cancer","fractal_dimension1",1,6,6
"breast_cancer","fractal_dimension2",1,6,6
"breast_cancer","fractal_dimension3",1,6,6
"breast_cancer","perimeter1",1,6,6
"breast_cancer","perimeter2",1,6,6
"breast_cancer","perimeter3",1,6,6
"breast_cancer","radius1",1,6,6
"breast_cancer","radius2",1,6,6
"breast_cancer","radius3",1,6,6
"breast_cancer","smoothness2",1,6,6
"breast_cancer","symmetry2",1,6,6
"breast_cancer","symmetry3",1,6,6
"breast_cancer","texture2",1,6,6
"cervical_cancer","Age",1,6,6
"cervical_cancer","First sexual intercourse",1,6,6
"cervical_cancer","Hormonal Contraceptives (years)",1,6,6
"cervical_cancer","IUD (years)",1,6,6
"cervical_cancer","Num of pregnancies",1,6,6
"cervical_cancer","Number of sexual partners",1,6,6
"cervical_cancer","STDs: Time since first diagnosis",1,6,6
"cervical_cancer","STDs: Time since last diagnosis",1,6,6
"cervical_cancer","Smokes (packs/year)",1,6,6
"cervical_cancer","Smokes (years)",1,6,6
"chronic_kidney","age",1,6,6
"chronic_kidney","bgr",1,6,6
"chronic_kidney","bp",1,6,6
"chronic_kidney","bu",1,6,6
"chronic_kidney","pcv",1,6,6
"chronic_kidney","pot",1,6,6
"chronic_kidney","rbcc",2,3,6
"chronic_kidney","sc",1,6,6
"chronic_kidney","sod",1,6,6
"chronic_kidney","wbcc",1,6,6
"cirrhosis","Alk_Phos",1,6,6
"cirrhosis","Bilirubin",1,6,6
"cirrhosis","Cholesterol",1,6,6
"cirrhosis","Copper",1,6,6
"cirrhosis","N_Days",1,6,6
"cirrhosis","Prothrombin",1,6,6
